,SPY
2005-01-03,81.17459869384766
2005-01-04,80.18268585205078
2005-01-05,79.6293716430664
2005-01-06,80.03421783447266
2005-01-07,79.9195327758789
2005-01-10,80.29744720458984
2005-01-11,79.74409484863281
2005-01-12,80.00723266601562
2005-01-13,79.36620330810547
2005-01-14,79.78458404541016
2005-01-18,80.61454772949219
2005-01-19,79.77110290527344
2005-01-20,79.28524017333984
2005-01-21,78.79940795898438
2005-01-24,78.64420318603516
2005-01-25,78.86688232421875
2005-01-26,79.10309600830078
2005-01-27,79.23802185058594
2005-01-28,79.23802185058594
2005-01-31,79.73059844970703
2005-02-01,80.23668670654297
2005-02-02,80.47960662841797
2005-02-03,80.27042388916016
2005-02-04,81.12734985351562
2005-02-07,81.01941680908203
2005-02-08,81.11387634277344
2005-02-09,80.506591796875
2005-02-10,80.7967300415039
2005-02-11,81.49172973632812
2005-02-14,81.43096923828125
2005-02-15,81.73463439941406
2005-02-16,81.78865814208984
2005-02-17,81.12734985351562
2005-02-18,81.2353286743164
2005-02-22,80.02748107910156
2005-02-23,80.60104370117188
2005-02-24,81.13409423828125
2005-02-25,81.93708801269531
2005-02-28,81.39724731445312
2005-03-01,81.80213165283203
2005-03-02,81.76165771484375
2005-03-03,81.79537963867188
2005-03-04,82.81430053710938
2005-03-07,82.85477447509766
2005-03-08,82.54437255859375
2005-03-09,81.6266860961914
2005-03-10,81.80888366699219
2005-03-11,81.2353286743164
2005-03-14,81.7414321899414
2005-03-15,81.06661987304688
2005-03-16,80.37837982177734
2005-03-17,80.54033660888672
2005-03-18,80.30117797851562
2005-03-21,80.00312805175781
2005-03-22,79.19023132324219
2005-03-23,79.25796508789062
2005-03-24,79.3528060913086
2005-03-28,79.46796417236328
2005-03-29,78.93959045410156
2005-03-30,80.05732727050781
2005-03-31,79.90829467773438
2005-04-01,79.54924011230469
2005-04-04,79.68474578857422
2005-04-05,80.0640869140625
2005-04-06,80.3418197631836
2005-04-07,80.77536010742188
2005-04-08,79.9354248046875
2005-04-11,79.9963607788086
2005-04-12,80.40958404541016
2005-04-13,79.4612045288086
2005-04-14,78.42469787597656
2005-04-15,77.32730102539062
2005-04-18,77.56442260742188
2005-04-19,78.18087768554688
2005-04-20,77.09024810791016
2005-04-21,78.58731842041016
2005-04-22,78.28924560546875
2005-04-25,78.80406951904297
2005-04-26,78.03861236572266
2005-04-27,78.34346008300781
2005-04-28,77.3612060546875
2005-04-29,78.41116333007812
2005-05-02,78.85147857666016
2005-05-03,78.98699188232422
2005-05-04,79.5966567993164
2005-05-05,79.56958770751953
2005-05-06,79.31890106201172
2005-05-09,79.81340789794922
2005-05-10,78.98699188232422
2005-05-11,79.42056274414062
2005-05-12,78.54666900634766
2005-05-13,78.39086151123047
2005-05-16,79.12246704101562
2005-05-17,79.65087890625
2005-05-18,80.47052764892578
2005-05-19,80.80924224853516
2005-05-20,80.69409942626953
2005-05-23,81.14118957519531
2005-05-24,80.9515151977539
2005-05-25,80.89055633544922
2005-05-26,81.32408905029297
2005-05-27,81.45957946777344
2005-05-31,80.93798065185547
2005-06-01,81.62895202636719
2005-06-02,81.80504608154297
2005-06-03,81.391845703125
2005-06-06,81.31732940673828
2005-06-07,81.3783187866211
2005-06-08,81.229248046875
2005-06-09,81.6153793334961
2005-06-10,81.42567443847656
2005-06-13,81.68309783935547
2005-06-14,81.87278747558594
2005-06-15,82.02860260009766
2005-06-16,82.23857116699219
2005-06-17,82.54331970214844
2005-06-20,82.57052612304688
2005-06-21,82.6181411743164
2005-06-22,82.6861343383789
2005-06-23,81.52307891845703
2005-06-24,80.9245376586914
2005-06-27,81.04017639160156
2005-06-28,81.72032165527344
2005-06-29,81.50267028808594
2005-06-30,81.06056213378906
2005-07-01,81.29863739013672
2005-07-05,81.95156860351562
2005-07-06,81.26461791992188
2005-07-07,81.58429718017578
2005-07-08,82.51608276367188
2005-07-11,82.93779754638672
2005-07-12,83.1554183959961
2005-07-13,83.27108764648438
2005-07-14,83.59754180908203
2005-07-15,83.54995727539062
2005-07-18,83.21666717529297
2005-07-19,83.6723861694336
2005-07-20,83.95804595947266
2005-07-21,83.46831512451172
2005-07-22,84.02606201171875
2005-07-25,83.78800964355469
2005-07-26,83.88999938964844
2005-07-27,84.19608306884766
2005-07-28,84.72659301757812
2005-07-29,84.16205596923828
2005-08-01,84.10084533691406
2005-08-02,84.60420989990234
2005-08-03,84.82865142822266
2005-08-04,84.14849090576172
2005-08-05,83.57716369628906
2005-08-08,83.42070770263672
2005-08-09,83.92403411865234
2005-08-10,83.88320922851562
2005-08-11,84.21649932861328
2005-08-12,83.69956970214844
2005-08-15,84.21649932861328
2005-08-16,83.1214599609375
2005-08-17,83.11465454101562
2005-08-18,83.10785675048828
2005-08-19,83.29829406738281
2005-08-22,83.29829406738281
2005-08-23,83.1418228149414
2005-08-24,82.40049743652344
2005-08-25,82.69972229003906
2005-08-26,82.13525390625
2005-08-29,82.76775360107422
2005-08-30,82.33247375488281
2005-08-31,83.37310791015625
2005-09-01,83.3118667602539
2005-09-02,83.1622314453125
2005-09-06,84.1348648071289
2005-09-07,84.27772521972656
2005-09-08,83.99886322021484
2005-09-09,84.74702453613281
2005-09-12,84.57696533203125
2005-09-13,84.1076889038086
2005-09-14,83.80160522460938
2005-09-15,83.76080322265625
2005-09-16,84.35639190673828
2005-09-19,84.07633972167969
2005-09-20,83.3659896850586
2005-09-21,82.58733367919922
2005-09-22,82.88104248046875
2005-09-23,82.9493179321289
2005-09-26,83.0449447631836
2005-09-27,83.02445983886719
2005-09-28,83.10640716552734
2005-09-29,83.78264617919922
2005-09-30,84.04220581054688
2005-10-03,83.7416763305664
2005-10-04,82.79906463623047
2005-10-05,81.71300506591797
2005-10-06,81.4193115234375
2005-10-07,81.6993637084961
2005-10-10,81.00946807861328
2005-10-11,80.89336395263672
2005-10-12,80.25810241699219
2005-10-13,80.21029663085938
2005-10-14,81.05728149414062
2005-10-17,81.35784912109375
2005-10-18,80.47669219970703
2005-10-19,81.81546020507812
2005-10-20,80.3742446899414
2005-10-21,80.68844604492188
